Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
02-03-2020,TCS,2000.15,2035,2053.95,1985.7,2000,,2035.99,2667076,5.43013E+14,118184,,0.4664
03-03-2020,TCS,2001.3,2020,2060,2012,,2036.2,2033.79,2757585,5.60834E+14,139234,1397749,0.5069
04-03-2020,TCS,2036.2,2056,2094.45,2025,2082.1,2083.2,2059.4,3237002,6.66628E+14,131156,1497508,0.4626
05-03-2020,TCS,2083.2,2085.7,2147.75,2084.05,,2125.05,2121.54,3937056,8.35262E+14,193693,2287407,0.581
06-03-2020,TCS,2125.05,2098,2123.65,,2115.4,2116.45,2097.98,2595027,5.44431E+14,130651,1250756,0.482
09-03-2020,TCS,2116.45,2075,2079.9,1935,1981,1972.35,1989.28,4940982,9.82901E+14,227592,2739821,0.5545
11-03-2020,TCS,1972.35,1933,1987.3,1920,,1953.7,1959.39,6796752,1.33175E+15,213057,4563612,
12-03-2020,TCS,1953.7,1904,1908.4,1758.35,1772.9,1769.85,1815.1,8728972,1.5844E+15,252037,5822556,0.667
13-03-2020,TCS,1769.85,1687.9,1820,1506.05,1820,,1736.57,8029725,1.39442E+15,280631,4008094,0.4992
16-03-2020,TCS,1806.3,1755,1842.25,1675.85,1684.5,1696.4,1760.08,7844420,1.38068E+15,380004,4974137,0.6341
17-03-2020,TCS,1696.4,1730,1731,,1632,1658,1687.98,5713269,9.64391E+14,224133,3892439,0.6813
,TCS,,1676.8,1713.55,1627.75,1670,1654.4,1667.41,7259111,1.21039E+15,276794,4565294,0.6289
19-03-2020,TCS,1654.4,1559.7,1685.45,1546.75,1636,1636.35,1622.31,5135162,8.33084E+14,248319,2515229,0.4898
20-03-2020,TCS,1636.35,1630,1869,1627,1792.95,1797.45,1787.53,8547645,1.52791E+15,361688,3868118,0.4525
23-03-2020,TCS,1797.45,1620,,1617.75,1631,1669.7,1687.63,7003558,1.18194E+15,190709,4237215,0.605
,TCS,1669.7,1653.05,1770,1632.85,1699.95,1703.15,,6354209,1.09098E+15,309791,3520631,0.5541
25-03-2020,TCS,1703.15,1700,1810,1680,1732,1750.3,1735.21,2765527,4.79877E+14,200205,1152908,
26-03-2020,TCS,1750.3,1831.6,1832.05,1722.55,1785,1790.95,1783.59,4556071,8.12617E+14,251428,2650292,0.5817
27-03-2020,TCS,1790.95,1820,1850,1750.4,1850,1824.5,1796.8,4331310,7.78251E+14,217336,2319309,0.5355
30-03-2020,TCS,1824.5,,1905,1763.55,1781.7,1778.5,,8513608,1.54391E+15,277606,5214886,0.6125
31-03-2020,TCS,1778.5,1837.4,1855,1780,,1826.1,1824.45,3927593,7.16571E+14,190774,1752624,0.4462
01-04-2020,TCS,1826.1,1825.9,1834.75,,1714,1708.75,1763.66,,8.71581E+14,221364,2619484,0.5301
03-04-2020,TCS,1708.75,1740,1740,1650,1659,1654.2,1688.3,5735529,9.68332E+14,244588,2453808,0.4278
07-04-2020,TCS,1654.2,1710,1785.85,1705,1765.85,1775.2,1747.2,5427965,,232534,3020094,0.5564
08-04-2020,TCS,1775.2,1760,1806,1701,1708,1705.45,1736.76,,1.09166E+15,276600,2533692,0.4031
09-04-2020,TCS,1705.45,1750.45,1778.8,1731.2,1761,1766.15,1759.13,5307649,9.33687E+14,184889,2682616,0.5054
13-04-2020,TCS,1766.15,,1787,,1761.6,1759.25,1761.05,2990478,5.26638E+14,,1242289,0.4154
15-04-2020,TCS,1759.25,1785,1812,1727.8,1735,,1774.09,,8.44718E+14,196087,2136320,0.4487
,TCS,1735.15,1709.95,1764.9,1675.05,1720.5,1716.05,,6245583,1.07458E+15,284814,2110034,0.3378
17-04-2020,TCS,1716.05,1800,1851.95,1753,1810,1806.2,,9895825,1.7964E+15,363192,3217550,0.3251
20-04-2020,TCS,1806.2,1830,1830,1802.5,1818.6,1818.65,1815.63,3244293,5.89044E+14,136285,,0.4339
21-04-2020,TCS,1818.65,1765,1794.6,1727.7,,1737.65,1749.84,5122606,8.96374E+14,190349,2457408,0.4797
22-04-2020,TCS,1737.65,1737.65,1790,1719.15,,1769.5,1754.72,3829839,6.72028E+14,180947,1518445,0.3965
23-04-2020,TCS,,1780,1900,1760.85,,1878.25,1844.03,,1.09432E+15,257398,2087199,0.3517
,TCS,1878.25,1840.7,1851.95,1807.8,1821,1818.55,1825.54,2987150,5.45317E+14,142967,1103567,0.3694
27-04-2020,TCS,1818.55,1832.3,1875,1825,1834,1836.6,1853.6,3374747,6.25542E+14,140822,1333349,0.3951
28-04-2020,TCS,1836.6,1865,1868,1832.6,1865,1859.05,1851.06,2678512,4.9581E+14,117278,1119539,0.418
29-04-2020,TCS,1859.05,1874,1912.55,1850.05,,1905.65,1882.9,4241579,7.98649E+14,158389,1705279,0.402
30-04-2020,TCS,1905.65,1980,2032,1942.2,2019.55,2014.45,,5915950,1.17697E+15,241064,2636626,0.4457
04-05-2020,TCS,2014.45,1966,1966,1913.65,1930.5,,1939.3,3729409,7.23244E+14,165528,1752041,
,TCS,1930.45,1955.1,1977,1927,1932.75,1932.75,1952.86,2905541,5.67412E+14,147469,1095381,0.377
06-05-2020,TCS,1932.75,1939.8,,1893.6,1908.5,1903.6,1920.77,3517432,6.75618E+14,172517,1154410,0.3282
07-05-2020,TCS,1903.6,1910,1934.45,1883.35,1895.95,1891.65,1909.43,3166784,6.04677E+14,154795,941078,0.2972
08-05-2020,TCS,1891.65,1939.1,1939.5,1886.25,1897,1893.4,1902.14,2686536,5.11017E+14,122431,858746,0.3196
11-05-2020,TCS,1893.4,1909,1951.4,1909,1936,1935.3,1939.47,2449846,,120116,738177,0.3013
12-05-2020,TCS,1935.3,1933.4,1956.5,1910.25,1948,,,3256630,6.32187E+14,177881,992103,0.3046
13-05-2020,TCS,1949.5,,1994,1925.65,1944.5,1949.65,1946.67,2656665,5.17165E+14,127103,938030,0.3531
